# npcId	objId	min	max	numerator	denominator	rolls	name	rollType
7401	1623	1	1	5	512	1	Uncut sapphire	M
7401	1621	1	1	5	1024	1	Uncut emerald	M
7401	1619	1	1	5	2048	1	Uncut ruby	M
7401	1452	1	1	125	136544	1	Chaos talisman	M
7401	1462	1	1	125	136544	1	Nature talisman	M
7401	1617	1	1	5	8192	1	Uncut diamond	M
7401	830	5	5	5	16384	1	Rune javelin	M
7401	987	1	1	5	16384	1	Loop half of key	M
7401	985	1	1	5	16384	1	Tooth half of key	M
7401	1247	1	1	5	262144	1	Rune spear	M
7401	2366	1	1	5	524288	1	Shield left half	M
7401	1249	1	1	71	9927295	1	Dragon spear	M
7401	532	1	1	1	1	1	Big bones	G
7401	561	3	3	1	128	1	Nature rune	M
7401	199	1	1	5	197	1	Grimy guam leaf	M
7401	201	1	1	2	105	1	Grimy marrentill	M
7401	203	1	1	1	70	1	Grimy tarromin	M
7401	205	1	1	1	90	1	Grimy harralander	M
7401	207	1	1	5	573	1	Grimy ranarr weed	M
7401	209	1	1	2	315	1	Grimy irit leaf	M
7401	211	1	1	10	2101	1	Grimy avantoe	M
7401	213	1	1	10	2521	1	Grimy kwuarm	M
7401	215	1	1	10	3151	1	Grimy cadantine	M
7401	13486	1	1	1	1	1	Ensouled horror head	G
7401	2485	1	1	10	4201	1	Grimy lantadyme	M
7401	217	1	1	10	4201	1	Grimy dwarf weed	M
7401	5296	1	1	10	357	1	Toadflax seed	M
7401	5297	1	1	5	262	1	Irit seed	M
7401	5281	1	1	10	541	1	Belladonna seed	M
7401	5106	1	1	10	763	1	Poison ivy seed	M
7401	5298	1	1	10	763	1	Avantoe seed	M
7401	5280	1	1	10	799	1	Cactus seed	M
7401	22873	1	1	10	1119	1	Potato cactus seed	M
7401	5299	1	1	10	1119	1	Kwuarm seed	M
7401	1355	1	1	3	128	1	Mithril axe	M
7401	5300	1	1	5	839	1	Snapdragon seed	M
7401	5301	1	1	10	2397	1	Cadantine seed	M
7401	5302	1	1	5	1678	1	Lantadyme seed	M
7401	22879	3	3	5	2098	1	Snape grass seed	M
7401	5303	1	1	5	2797	1	Dwarf weed seed	M
7401	5304	1	1	10	8391	1	Torstol seed	M
7401	5318	1	4	10	171	1	Potato seed	M
7401	5319	1	3	10	341	1	Onion seed	M
7401	5324	1	3	10	683	1	Cabbage seed	M
7401	5322	1	2	2	273	1	Tomato seed	M
7401	1213	1	1	1	128	1	Rune dagger	M
7401	5320	1	2	10	2731	1	Sweetcorn seed	M
7401	5323	1	1	10	5461	1	Strawberry seed	M
7401	5321	1	1	10	10923	1	Watermelon seed	M
7401	22879	1	1	10	10923	1	Snape grass seed	M
7401	995	44	44	7	32	1	Coins	M
7401	995	132	132	3	32	1	Coins	M
7401	995	440	440	1	128	1	Coins	M
7401	225	1	1	7	128	1	Limpwurt root	M
7401	6334	4	4	7	128	1	Teak logs	M
7401	6332	2	2	3	128	1	Mahogany logs	M
7401	1161	1	1	1	128	1	Adamant full helm	M
7401	1197	1	1	1	128	1	Mithril kiteshield	M
7401	2722	1	1	5	64	1	Clue scroll (hard)	I
7401	10976	1	1	1	400	1	Long bone	I
7401	10977	1	1	2	10025	1	Curved bone	I
7401	20730	1	1	1	224	1	Mist battlestaff	M
7401	20736	1	1	1	224	1	Dust battlestaff	M
7401	21270	1	1	1	784	1	Eternal gem	M
7401	20724	1	1	1	784	1	Imbued heart	M
